Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Rural;RUR/Trunk/70/St+Go;0%;14.4061327;0.775164723;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Rural;RUR/Trunk/90/Freeflow;0%;87.65538788;0.359116137;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Rural;RUR/Trunk/90/St+Go;0%;15.47130775;0.75955081;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Rural;RUR/Trunk/110/Freeflow;0%;106.9843826;0.452486396;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Rural;RUR/Trunk/110/St+Go;0%;17.91869164;0.700907826;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;RUR/Distr/50/Freeflow;0%;48.93615341;0.326950908;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;RUR/Distr/50/St+Go;0%;12.48864651;0.740667105;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Rural;RUR/Distr/70/Freeflow;0%;66.9421463;0.331296444;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Rural;RUR/Distr/70/St+Go;0%;14.40643024;0.775198162;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;RUR/Local/50/Freeflow;0%;46.53887558;0.43530032;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;RUR/Local/50/St+Go;0%;12.48578644;0.740700066;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Rural;RUR/Local/70/Freeflow;0%;63.68587875;0.355808616;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Rural;RUR/Local/70/St+Go;0%;14.40634251;0.775203288;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;RUR/Access/30/Freeflow;0%;33.693367;0.426707327;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;RUR/Access/30/St+Go;0%;9.621915817;0.795068085;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;RUR/Access/50/Freeflow;0%;43.89975739;0.422284007;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;RUR/Access/50/St+Go;0%;12.48863602;0.740693986;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;URB/MW-Nat./80/Freeflow;0%;79.03369141;0.323035896;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;URB/MW-Nat./80/St+Go;0%;15.47862244;0.761483669;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;URB/MW-Nat./90/Freeflow;0%;88.4336319;0.346832454;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;URB/MW-Nat./90/St+Go;0%;17.92142677;0.702829957;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;URB/MW-Nat./110/Freeflow;0%;106.4404297;0.470205754;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;URB/MW-Nat./110/St+Go;0%;17.92009163;0.702726781;Ø/France - Avg;;
