Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,4-5h,0-1km;0.105883837;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,5-6h,0-1km;0.102841139;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,6-7h,0-1km;0.099779084;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,7-8h,0-1km;0.096697643;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,8-9h,0-1km;0.093596637;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,9-10h,0-1km;0.090476014;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,10-11h,0-1km;0.087335646;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,11-12h,0-1km;0.084175475;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,>12h,0-1km;0.082588553;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,0-1h,1-2km;0.056958739;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,1-2h,1-2km;0.117759302;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,2-3h,1-2km;0.125568837;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,3-4h,1-2km;0.130189031;;;;;
