Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/St+Go;0%;111940;PC petrol Euro-4;petrol (4S);>=2L;PC petrol Euro-4;145779.25;0.031943236;17.92922783;NA;NA;0.007445482;NA;NA;17.92037201;NA;NA;0.018351967;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/St+Go;0%;111950;PC petrol Euro-5;petrol (4S);>=2L;PC petrol Euro-5;106131.7969;0.058916871;17.9265976;NA;NA;0.010714279;NA;NA;17.92037201;NA;NA;0.018351967;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/St+Go;0%;111961;PC petrol Euro-6ab;petrol (4S);>=2L;PC petrol Euro-6ab;66197.00781;0.082369171;17.88769531;NA;NA;0.007744029;NA;NA;17.92037201;NA;NA;0.018351967;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/St+Go;0%;111965;PC petrol Euro-6c;petrol (4S);>=2L;PC petrol Euro-6c;43431.35938;0.043270264;17.90296745;NA;NA;0.002264602;NA;NA;17.92037201;NA;NA;0.018351967;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/St+Go;0%;111968;PC petrol Euro-6d;petrol (4S);>=2L;PC petrol Euro-6d;19861.0625;0.064392313;17.9265976;NA;NA;0.005076669;NA;NA;17.92037201;NA;NA;0.018351967;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/St+Go;0%;121910;PC diesel Euro-1;diesel;<1,4L;PC diesel Euro-1;377537.25;0.001675499;17.88537216;NA;NA;0.115971968;NA;NA;17.92037201;NA;NA;0.018351967;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/St+Go;0%;121921;PC diesel Euro-2 (DPF);diesel;<1,4L;PC diesel Euro-2 (DPF);336490.3125;0.006963221;17.92614365;NA;NA;0.071939051;NA;NA;17.92037201;NA;NA;0.018351967;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/St+Go;0%;121931;PC diesel Euro-3 (DPF);diesel;<1,4L;PC diesel Euro-3 (DPF);284639.1563;0.041854195;17.9265976;NA;NA;0.045029301;NA;NA;17.92037201;NA;NA;0.018351967;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/St+Go;0%;121940;PC diesel Euro-4;diesel;<1,4L;PC diesel Euro-4;222993.3906;1.82862e-09;17.9265976;NA;NA;0.018168354;NA;NA;17.92037201;NA;NA;0.018351967;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/St+Go;0%;121950;PC diesel Euro-5;diesel;<1,4L;PC diesel Euro-5;159892.3125;0.193180934;17.92632294;NA;NA;0.014598886;NA;NA;17.92037201;NA;NA;0.018351967;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
